 ,Label,Area,%Area,MinThr,MaxThr
1,1B_CASP_4.jpg:4926-3083,3.340,99.992,0,177
2,1B_CASP_4.jpg:3894-2778,7.208,99.995,0,177
3,1B_CASP_4.jpg:4401-2238,4.765,99.989,0,177
