 ,Label,Area,%Area,MinThr,MaxThr
1,1A_CASP_1.jpg:3605-2443,3.852,99.997,0,161
2,1A_CASP_1.jpg:4054-1761,5.351,100.000,0,161
3,1A_CASP_1.jpg:3525-1335,3.496,99.999,0,161
