 ,Label,Area,%Area,MinThr,MaxThr
1,1C_CASP_4.jpg:4363-2699,3.430,99.995,0,156
2,1C_CASP_4.jpg:4263-2132,3.282,99.992,0,156
3,1C_CASP_4.jpg:4338-1555,3.306,99.998,0,156
