 ,Label,Area,%Area,MinThr,MaxThr
1,1D_CASP_2.jpg:3944-3190,4.261,99.899,0,166
2,1D_CASP_2.jpg:4105-2338,5.936,99.999,0,166
3,1D_CASP_2.jpg:4021-1570,4.311,100.000,0,166
