Sample_num,Sample_ID,BLK,Plot_ID,Trt,Depth,C ,N ,Soil_pH,DOC mg/L,TDN mg/L,DIN mg/L,DON mg/L,NH4 mg/L,NO3 mg/L,Na mg/L,K mg/L,Mg mg/L,Ca mg/L,Cl mg/L,PO4 mg/L,SO4 mg/L,DOC µg/g,TDN µg/g,DIN µg/g,DON µg/g,NH4 µg/g,NH4_N µg/g,NO3 µg/g,NO3_N µg/g,Na µg/g,K µg/g,Mg µg/g,Ca µg/g,Cl µg/g,PO4 µg/g,SO4 µg/g
31,CP_B4_M_D_5,4,D,M,0-5,1.32,0.07,6.23,15.14,1.27,0.27,1.00,0.06,1.02,0.74,3.65,0.60,2.27,2.40,1.99,1.14,87.04,7.32,1.57,5.75,0.32,0.25,5.88,1.33,4.23,20.95,3.46,13.05,13.79,11.46,6.57
32,CP_B4_M_D_15,4,D,M,5-15,2.11,0.11,6.23,7.85,0.53,0.16,0.38,0.06,0.51,0.52,1.38,0.93,2.21,3.43,1.03,3.41,43.86,2.98,0.88,2.10,0.31,0.24,2.84,0.64,2.91,7.68,5.17,12.32,19.16,5.75,19.05
33,CP_B5_B_A_5,5,A,B,0-5,1.44,0.07,6.21,15.21,1.58,0.43,1.15,0.11,1.53,0.50,3.06,0.57,1.93,2.44,2.86,0.76,90.91,9.42,2.57,6.85,0.66,0.51,9.12,2.06,2.99,18.26,3.41,11.54,14.58,17.06,4.57
34,CP_B5_B_A_15,5,A,B,5-15,4.76,0.14,5.72,17.84,1.18,0.22,0.96,0.11,0.62,0.61,2.48,0.47,1.81,3.10,0.28,0.77,98.41,6.51,1.23,5.28,0.58,0.45,3.44,0.78,3.36,13.65,2.56,9.98,17.12,1.53,4.24
35,CP_B5_M_B_5,5,B,M,0-5,1.12,0.07,6.17,15.93,0.84,0.38,0.46,0.17,1.11,0.50,7.36,0.58,2.35,3.05,1.80,3.18,95.37,5.01,2.27,2.74,0.99,0.77,6.66,1.50,2.99,44.06,3.44,14.04,18.27,10.79,19.04
36,CP_B5_M_B_15,5,B,M,5-15,2.84,0.22,6.14,14.64,2.17,0.25,1.91,0.15,0.60,0.56,3.27,0.45,1.94,2.89,0.70,2.76,81.09,12.00,1.40,10.61,0.83,0.65,3.32,0.75,3.10,18.08,2.49,10.75,15.98,3.85,15.31
37,CP_B5_CTL_C_5,5,C,C,0-5,0.71,0.07,6.12,9.45,1.14,0.27,0.86,0.10,0.89,0.44,3.92,0.54,2.21,2.73,0.48,0.75,53.81,6.47,1.57,4.91,0.54,0.42,5.07,1.15,2.48,22.33,3.05,12.59,15.56,2.75,4.25
38,CP_B5_CTL_C_15,5,C,C,5-15,3.30,0.16,6.08,13.61,1.02,0.24,0.78,0.06,0.88,0.49,3.29,0.40,1.69,2.83,1.89,1.57,76.83,5.75,1.37,4.38,0.31,0.24,4.99,1.13,2.77,18.55,2.23,9.51,15.99,10.64,8.84
39,CP_B5_BM_D_5,5,D,BM,0-5,1.18,0.08,6.14,14.73,0.92,0.34,0.59,0.16,0.94,0.41,6.61,0.57,2.36,3.23,0.75,1.51,95.71,5.99,2.19,3.80,1.04,0.81,6.13,1.38,2.66,42.95,3.70,15.33,21.00,4.86,9.80
40,CP_B5_BM_D_15,5,D,BM,5-15,6.09,0.12,6.15,16.74,1.00,0.26,0.74,0.11,0.80,0.43,5.01,0.63,2.90,2.94,1.40,0.62,94.26,5.64,1.48,4.16,0.59,0.46,4.52,1.02,2.39,28.21,3.52,16.30,16.54,7.90,3.52
41,CP_B6_CTL_A_5,6,A,C,0-5,1.17,0.08,6.10,10.50,1.27,0.37,0.90,0.18,1.03,0.62,2.81,0.39,1.74,3.09,0.25,1.09,57.30,6.95,2.03,4.91,0.98,0.76,5.63,1.27,3.36,15.31,2.13,9.47,16.85,1.35,5.97
42,CP_B6_CTL_A_15,6,A,C,5-15,2.36,0.09,6.00,11.09,0.84,0.34,0.50,0.18,0.92,0.57,2.69,0.44,1.95,3.39,2.59,0.74,60.34,4.58,1.88,2.70,0.95,0.74,5.03,1.14,3.10,14.61,2.39,10.58,18.42,14.08,4.03
43,CP_B6_B_B_5,6,B,B,0-5,1.08,0.09,6.20,20.30,1.69,0.28,1.41,0.04,1.12,0.44,4.84,0.67,3.04,3.98,3.33,0.99,102.01,8.50,1.41,7.10,0.18,0.14,5.62,1.27,2.19,24.32,3.34,15.25,19.98,16.73,4.99
44,CP_B6_B_B_15,6,B,B,5-15,3.56,0.11,5.77,13.26,0.76,0.20,0.57,0.07,0.64,0.55,2.85,0.44,1.90,2.59,0.33,0.76,71.93,4.15,1.06,3.09,0.35,0.27,3.49,0.79,2.98,15.46,2.36,10.31,14.07,1.80,4.13
45,CP_B6_M_C_5,6,C,M,0-5,0.43,0.06,6.06,14.63,1.07,0.31,0.76,0.09,1.08,0.40,3.71,1.44,2.01,2.44,5.71,1.92,86.58,6.36,1.86,4.49,0.53,0.41,6.42,1.45,2.37,21.96,8.49,11.90,14.45,33.82,11.37
46,CP_B6_M_C_15,6,C,M,5-15,3.20,0.18,6.00,15.20,2.60,0.12,2.48,0.02,0.48,0.43,2.15,0.88,5.25,3.30,0.91,2.69,83.09,14.23,0.68,13.55,0.11,0.08,2.64,0.60,2.32,11.75,4.78,28.67,18.06,4.99,14.72
47,CP_B6_BM_D_5,6,D,BM,0-5,3.22,0.15,6.02,17.57,1.56,0.23,1.33,0.01,1.02,0.32,6.62,0.87,2.47,3.64,0.96,1.75,99.10,8.80,1.33,7.47,0.03,0.02,5.77,1.30,1.80,37.31,4.88,13.90,20.52,5.43,9.84
48,CP_B6_BM_D_15,6,D,BM,5-15,4.77,0.06,5.84,10.90,0.72,0.25,0.47,0.06,0.93,0.48,2.59,0.47,2.70,3.24,1.54,0.74,72.38,4.80,1.68,3.12,0.37,0.28,6.19,1.40,3.19,17.20,3.09,17.89,21.49,10.25,4.94
