#,BLK,PlotID,Trt,Depth,Dry Soil Wt.,40 Sec Hydro g/L,40 sec T C,Corr 40 Sec Hydro g/L,6 Hr Hydro g/L,6 Hr T C,Corr 6 Hr Hydro g/L,% Clay,% Silt plus Clay,% Silt,% Sand
1,1,A,M,0-5,50.00,12,22,12.72,6,16,4.56,9.12,25.4,16.3,74.6
2,1,A,M,5-15,50.00,10,26,12.16,5,16,3.56,7.12,24.3,17.2,75.7
9,2,A,BM,0-5,50.01,18,19,17.64,7,16,5.56,11.12,35.3,24.2,64.7
10,2,A,BM,5-15,50.00,14,27,16.52,6,16,4.56,9.12,33.0,23.9,67.0
19,3,B,C,0-5,50.00,10,20,10,3,16,1.56,3.12,20.0,16.9,80.0
20,3,B,C,5-15,50.00,17,23,18.08,5,16,3.56,7.12,36.2,29.0,63.8
25,4,A,B,0-5,50.00,11,25,12.8,5,16,3.56,7.12,25.6,18.5,74.4
26,4,A,B,5-15,50.08,8,31,11.96,7,16,5.56,11.10,23.9,12.8,76.1
37,5,C,C,0-5,50.00,9,21,9.36,4,16,2.56,5.12,18.7,13.6,81.3
38,5,C,C,5-15,50.04,7,25,8.8,2,16,0.56,1.12,17.6,16.5,82.4
47,6,D,BM,0-5,50.06,7,28,9.88,5,16,3.56,7.11,19.7,12.6,80.3
48,6,D,BM,5-15,49.99,10,34,15.04,4,16,2.56,5.12,30.1,25.0,69.9
