 ,Label,Area,%Area,MinThr,MaxThr
1,5B_CASP_2.jpg:4470-2576,3.522,99.999,0,169
2,5B_CASP_2.jpg:4435-1791,3.550,100.000,0,169
3,5B_CASP_2.jpg:4401-1070,3.676,100.000,0,169
