 ,Label,Area,%Area,MinThr,MaxThr
1,3D_CASP_3.jpg:3905-3230,6.481,99.987,0,156
2,3D_CASP_3.jpg:3875-2212,7.025,99.992,0,156
3,3D_CASP_3.jpg:3963-0647,3.510,99.985,0,156
