Response,Marginal,Conditional,species
LDMC,0.14,0.24,Vaccinium
NO3,0.52,0.79,Vaccinium
Fungal_div,0.31,0.42,Vaccinium
pH,0.43,0.46,Vaccinium
PO4,0.36,0.62,Vaccinium
Cations,0.51,0.81,Vaccinium
VWC,0.32,0.72,Vaccinium
EMF,0.28,0.49,Vaccinium
Nitrifiers,0.78,0.85,Vaccinium
LDMC,0.3,0.3,Oreochrysum
NO3,0.39,0.63,Oreochrysum
pH,0.12,0.51,Oreochrysum
EMF,0.42,0.69,Oreochrysum
Nitrifiers,0.61,0.63,Oreochrysum
Cations,0.58,0.65,Oreochrysum
VWC,0.66,0.67,Oreochrysum
CN,0.26,0.28,Oreochrysum
